Region,Lat,Lon
Afghanistan,34.13402601,66.59216131
Albania,41.14165895,20.06108277
Algeria,28.35096974,2.655846472
Andorra,42.54859835,1.580224361
Angola,-12.16742406,17.65176878
Antarctica,-77.16987521,-177.5645161
Antigua and Barbuda,17.07146759,-61.78530823
Argentina,-35.69727052,-64.53238504
Armenia,40.17841274,45.05490832
Aruba,12.51562572,-69.97564014
Australia,-25.69733767,134.0227717
Austria,47.63185827,13.79777836
Azerbaijan,40.39205099,48.63459267
Bahamas,24.72162634,-78.0727537
Bahrain,26.04798502,50.5406954
Bangladesh,23.67372867,90.43212563
Barbados,13.18321937,-59.55738395
Belarus,53.46791375,27.96425205
Belgium,50.61821389,4.675010155
Belize,17.24252477,-88.6827351
Benin,9.5030132,2.305714529
Bhutan,27.42163934,90.46716647
Bolivia,-16.73124884,-64.45209598
Bosnia and Herzegovina,44.14415356,17.83467241
Botswana,-22.236609,23.85779957
Brazil,-11.52463042,-54.35520661
Brunei Darussalam,4.54320589,114.6430958
Bulgaria,42.82043677,25.25173912
Burkina Faso,12.10870904,-1.693281621
Burundi,-3.261251993,29.88518228
Côte d'Ivoire,7.536779279,-5.571710195
Cabo Verde,15.07641152,-23.63401006
Cambodia,12.69918687,105.0397308
Cameroon,6.294168487,12.94847414
Canada,57.55048004,-98.41680518
Central African Republic,6.331390034,20.52074342
Chad,15.28349355,18.4271139
Chile,-37.82938283,-70.76863432
China,38.07325481,104.6911386
Colombia,4.187753877,-72.64450662
Comoros,-11.65886147,43.34826587
Congo,-0.72943916,14.87973285
Congo DRC,-3.338629596,23.41982757
Costa Rica,9.863467407,-84.14673626
Croatia,44.91192101,16.62576113
Cuba,21.47617652,-79.69817858
Cyprus,35.11700416,33.37534601
Czech Republic,49.74917371,15.38327329
Denmark,56.00118818,9.378670542
Djibouti,11.75023573,42.6134969
Dominica,15.42926986,-61.36047195
Dominican Republic,18.77954819,-70.43495199
Ecuador,-1.564272139,-78.46303261
Egypt,26.60517034,30.24013544
El Salvador,13.75804152,-88.85911489
Equatorial Guinea,1.595464394,10.42545667
Eritrea,15.00553315,39.26724014
Estonia,58.64810831,25.91687025
Eswatini,-26.56254094,31.51068575
Ethiopia,8.729389557,39.91490289
Fiji,-17.82247095,177.9814461
Finland,65.0157896,25.65738433
France,46.64236822,2.194023663
Gabon,-0.62844846,11.8394109
Gambia,13.42861796,-15.38338039
Georgia,42.17986278,43.37886653
Germany,51.0830454,10.42617143
Ghana,7.945304672,-1.219233363
Greece,39.42012262,23.11036894
Grenada,12.11292666,-61.67937937
Guatemala,15.82087852,-90.31219349
Guinea,10.25598654,-10.98694885
Guinea-Bissau,11.98007532,-14.98018676
Guyana,4.682119814,-58.91352613
Haiti,18.88352049,-72.8929138
Honduras,14.7403707,-86.49251679
Hungary,47.22527332,19.39620048
Iceland,65.1236092,-19.05682967
India,23.58630057,81.17300409
Indonesia,0.1559198,113.9653825
Iran,32.90602374,54.237077
Iraq,33.10507567,43.83252918
Ireland,53.3048954,-8.241128546
Israel,31.51354222,35.02792347
Italy,42.98201128,12.76365717
Jamaica,18.12207889,-77.30358895
Japan,36.76738833,137.4693423
Jordan,31.38706488,36.95728885
Kazakhstan,47.6414652,66.37591935
Kenya,0.689918232,37.95309411
Kiribati,1.867667375,-157.3902419
Kuwait,29.28136097,47.56311109
Kyrgyzstan,41.35698905,74.17532903
Laos,18.11728274,103.763759
Latvia,56.81385305,24.69367133
Lebanon,33.91160171,35.89651946
Lesotho,-29.60168117,28.24475318
Liberia,6.520129794,-9.258988935
Libya,27.20291577,17.91133392
Liechtenstein,47.14627562,9.547674672
Lithuania,55.29437393,23.94602161
Luxembourg,49.77523455,6.103230338
Madagascar,-19.04163612,46.68493467
Malawi,-13.12898646,34.23441182
Malaysia,3.671660856,114.633303
Maldives,-0.606557717,73.10076245
Mali,17.16814621,-4.346399842
Malta,35.89052265,14.44192244
Marshall Islands,7.307929901,168.7201603
Mauritania,20.46673121,-10.49507905
Mauritius,-20.28142317,57.56415671
Mexico,23.87436068,-101.5539973
Micronesia,6.878944813,158.2291899
Moldova,47.07256746,28.39111187
Monaco,43.74798225,7.412820873
Mongolia,47.08644455,103.398736
Montenegro,42.73694835,19.29505087
Morocco,28.68759813,-8.817212587
Mozambique,-17.52523031,35.20857703
Myanmar,19.90122793,97.08892285
Namibia,-21.90858163,18.16451346
Nauru,-0.522102144,166.9293763
Nepal,28.3009207,84.13388983
Netherlands,52.13405413,5.554136426
New Zealand,-40.9006,174.886
