Region,ClusterID
Argentina,5
Australia,4
Austria,4
Belgium,4
Bolivia,5
Brazil,3
Bulgaria,4
Canada,4
Chile,5
Colombia,5
Costa Rica,5
Czech Republic,4
Denmark,4
Dominican Republic,5
Ecuador,5
Egypt,3
El Salvador,5
Estonia,4
Finland,4
France,4
Germany,4
Greece,4
Guatemala,5
Honduras,5
Hong Kong,2
Hungary,4
Iceland,4
India,3
Indonesia,2
Ireland,4
Israel,4
Italy,4
Japan,1
Latvia,4
Lithuania,4
Luxembourg,4
Malaysia,2
Mexico,5
Morocco,4
Netherlands,4
New Zealand,4
Nicaragua,5
Norway,4
Panama,5
Paraguay,5
Peru,5
Philippines,2
Poland,4
Portugal,4
Romania,4
Russia,4
Saudi Arabia,3
Singapore,2
Slovakia,4
South Africa,4
South Korea,2
Spain,5
Sweden,4
Switzerland,4
Taiwan,2
Thailand,2
Turkey,3
Ukraine,4
United Arab Emirates,3
United Kingdom,4
United States,4
Uruguay,5
Vietnam,2
